Name,Dia (in),Width,Height + .2
4.4 mm,0.1732,0.90064,3.349606299
#16,0.1770,0.9204,3.575
4.5 mm,0.1772,0.92144,3.349606299
#15,0.1800,0.936,3.575
4.6 mm,0.1811,0.94172,3.349606299
#14,0.1820,0.9464,3.575
4.65 mm,0.1831,0.95212,3.349606299
#13,0.1850,0.962,3.7
4.7 mm,0.1850,0.962,3.349606299
4.75 mm,0.1870,0.9724,3.585826772
3/16 in,0.1875,0.975,3.7
#12,0.1890,0.9828,3.7
4.8 mm,0.1890,0.9828,3.585826772
4.85 mm,0.1909,0.99268,3.585826772
#11,0.1910,0.9932,3.7
4.9 mm,0.1929,1.00308,3.585826772
#10,0.1935,1.0062,3.825
#9,0.1960,1.0192,3.825
5 mm,0.1969,1.02388,3.585826772
#8,0.1990,1.0348,3.825
5.1 mm,0.2008,1.04416,3.585826772
#7,0.2010,1.0452,3.825
13/64 in,0.2031,1.05612,3.825
#6,0.2040,1.0608,3.95
5.2 mm,0.2047,1.06444,3.585826772
#5,0.2055,1.0686,3.95
5.25 mm,0.2067,1.07484,3.585826772
5.3 mm,0.2087,1.08524,3.585826772
#4,0.2090,1.0868,3.95
5.4 mm,0.2126,1.10552,3.861417323
#3,0.2130,1.1076,3.95
5.5 mm,0.2165,1.1258,3.861417323
7/32 in,0.2188,1.13776,3.95
5.6 mm,0.2205,1.1466,3.861417323
#2,0.2210,1.1492,4.075
5.7 mm,0.2244,1.16688,3.861417323
5.75 mm,0.2264,1.17728,3.861417323
#1,0.2280,1.1856,4.075
5.8 mm,0.2283,1.18716,3.861417323
5.9 mm,0.2323,1.20796,3.861417323
A,0.2340,1.2168,4.075
15/64 in,0.2344,1.21888,4.075
6 mm,0.2362,1.22824,3.861417323
B,0.2380,1.2376,4.2
6.1 mm,0.2402,1.24904,4.176377953
C,0.2420,1.2584,4.2
6.2 mm,0.2441,1.26932,4.176377953
D,0.2460,1.2792,4.2
6.25 mm,0.2461,1.27972,4.176377953
6.3 mm,0.2480,1.2896,4.176377953
1/4 in,0.2500,1.3,4.2
E,0.2500,1.3,4.2
6.4 mm,0.2520,1.3104,4.176377953
6.5 mm,0.2559,1.33068,4.176377953
F,0.2570,1.3364,4.325
6.6 mm,0.2598,1.35096,4.176377953
G,0.2610,1.3572,4.325
6.7 mm,0.2638,1.37176,4.176377953
17/64 in,0.2656,1.38112,4.325
6.75 mm,0.2657,1.38164,4.491338583
H,0.2660,1.3832,4.325
6.8 mm,0.2677,1.39204,4.491338583
6.9 mm,0.2717,1.41284,4.491338583
I,0.2720,1.4144,4.325
7 mm,0.2756,1.43312,4.491338583
J,0.2770,1.4404,4.325
7.1 mm,0.2795,1.4534,4.491338583
K,0.2810,1.4612,4.45
9/32 in,0.2812,1.46224,4.45
7.2 mm,0.2835,1.4742,4.491338583
7.25 mm,0.2854,1.48408,4.491338583
7.3 mm,0.2874,1.49448,4.491338583
L,0.2900,1.508,4.45
